鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_num
內湖區,房地(土地+建物)+車位,大湖山莊街176巷1~30號,31.2,都市：其他:第三種住宅區。,,,1100308,土地1建物1車位1,六層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971127,158.37,3,2,2,有,有,29770000,187989,坡道平面,0.0,0,,RPQRMLTJMHGGFCA97DA,74.89,4.48,10.63,有,,14
中山區,房地(土地+建物),新生北路一段61~90號,17.11,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參之貳種住宅區)。,,,1100316,土地1建物1車位0,七層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770716,133.75,3,2,2,有,有,24030000,179664,,0.0,0,陽台外推；,RPPPMLTLLHGGFCA77DA,105.64,0.96,11.88,有,85.0,14
大同區,房地(土地+建物)+車位,民權西路211~240號,17.56,都市：其他:聯合開發區(捷)。,,,1100319,土地3建物1車位1,七層,十九,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,205.59000000000003,4,2,2,有,有,41000000,214071,坡道機械,19.67,1200000,,RPXOMLTKMHGGFBA38DA,117.09,0.0,13.24,有,,19
大同區,房地(土地+建物)+車位,延平北路一段91~120號,13.58,都市：其他:第三種商業區。,,,1100218,土地1建物1車位1,八層,二十四,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1091111,197.17000000000002,3,2,2,有,有,42380000,238768,坡道平面,32.24,3000000,預售屋、或土地及建物分次登記案件；,RPVPMLQKMHGGFBA97DA,90.62,9.87,12.56,有,,24
文山區,房地(土地+建物),汀州路四段181~210號,35.3,都市：其他:第三種住宅區。,,,1100322,土地1建物1車位0,十二層,十三,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991104,169.57999999999998,3,2,2,有,有,29600000,174549,,0.0,0,,RPXNMLTKMHGGFAA18DA,89.6,0.0,9.76,有,,13
文山區,房地(土地+建物)+車位,木柵路三段151~180號,16.51,都市：其他:第三種商業區。,,,1100228,土地1建物1車位2,十二層,二十四,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0981126,237.60000000000002,3,2,2,有,有,35000000,147306,坡道機械,68.04,0,,RPVNMLPKMHGGFAA57DA,108.23,0.01,9.68,有,,24
中山區,房地(土地+建物)+車位,南京東路三段48巷31~60號,31.08,都市：其他:第三種住宅區。,,,1100306,土地1建物1車位2,四層,十四,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930330,249.54000000000002,4,2,2,有,有,69880000,280046,坡道平面,61.25,0,陽台外推；其他增建；,RPQNMLTJMHGGFCA57DA,110.58,4.94,13.01,有,96.0,14
內湖區,房地(土地+建物)+車位,內湖路二段103巷1~30號,76.23,都市：其他:第三種住宅區。,,,1100120,土地1建物1車位3,十八層,二十六,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070619,557.0799999999999,3,2,4,有,有,195000000,425887,坡道平面,119.64,8700000,,RPQUMLKLMHGGFCA57DA,231.39,4.54,34.44,有,,26
中山區,房地(土地+建物)+車位,雙城街3巷1~30號,15.77,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100314,土地1建物1車位1,六層,十八,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090102,205.63,3,2,2,有,有,45200000,248143,坡道平面,31.94,2100000,,RPRNMLKLMHGGFCA96DA,100.63,2.64,10.84,有,,18
中山區,房地(土地+建物)+車位,雙城街3巷1~30號,15.77,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100320,土地1建物1車位1,五層,十八,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090102,201.32999999999998,3,2,2,有,有,45250000,248431,坡道平面,27.64,2100000,,RPSNMLKLMHGGFCA07DA,100.63,2.64,10.84,有,,18
